mk,sq,es,en
"Игралиште Бриони во Челопек (Тетово)","Fusha e futbollit Brioni në Çellopek (Tetovë)","Campo de fútbol Brioni en Čelopek (Tetovo)","Brioni Football Pitch in Čelopek (Tetovo)"
"Игралиште во Боговиње (Боговиње)","Fusha e futbollit në Bogovinë (Bogovinë)","Campo de fútbol en Bogovinje (Bogovinje)","Football Pitch in Bogovinje (Bogovinje)"
"Игралиште во Вашарејца (Могила)","Fusha e futbollit në Vasharejcë (Mogillë)","Campo de fútbol en Vašarejca (Mogila)","Football Pitch in Vašarejca (Mogila)"
"Игралиште во Горно Оризари (Битола)","Fusha e futbollit në Gorno Orizari (Manastir)","Campo de fútbol en Gorno Orizari (Bitola)","Football Pitch in Gorno Orizari (Bitola)"
"Игралиште во Долно Лисиче (Аеродром, Скопје)","Fusha e futbollit në Dollno Lisiçe (Aerodrom, Shkup)","Campo de fútbol en Dolno Lisiče (Aerodrom, Skopie)","Football Pitch in Dolno Lisiče (Aerodrom, Skopje)"
"Игралиште во Превалец (Велес)","Fusha e futbollit në Prevalec (Veles)","Campo de fútbol en Prevalec (Veles)","Football Pitch in Prevalec (Veles)"
"Игралиште во Чашка (Велес)","Fusha e futbollit në Çashkë (Veles)","Campo de fútbol en Čaška (Veles)","Football Pitch in Čaška (Veles)"
"Игралиште А.Б. Теќе (Тетово)","Fusha e futbollit A.B. Teqe (Tetovë)","Campo de fútbol A.B. Teke (Tetovo)","A.B. Teke Football Pitch (Tetovo)"
"Игралиште во Поешево (Битола)","Fusha e futbollit në Poeshevë (Manastir)","Campo de fútbol en Poeševo (Bitola)","Football Pitch in Poeševo (Bitola)"
"Игралиште во Башино Село (Велес)","Fusha e futbollit në Bashino Sellë (Veles)","Campo de fútbol en Bašino Selo (Veles)","Football Pitch in Bašino Selo (Veles)"
"Игралиште во Богомила (Чашка)","Fusha e futbollit në Bogomillë (Çashkë)","Campo de fútbol en Bogomila (Čaška)","Football Pitch in Bogomila (Čaška)"
"Игралиште во Буково (Битола)","Fusha e futbollit në Bukovë (Manastir)","Campo de fútbol en Bukovo (Bitola)","Football Pitch in Bukovo (Bitola)"
"Игралиште во Голема Речица (Тетово)","Fusha e futbollit në Reçicë të Madhe (Tetovë)","Campo de fútbol en Golema Rečica (Tetovo)","Football Pitch in Golema Rečica (Tetovo)"
"Игралиште во Големо Коњари (Прилеп)","Fusha e futbollit në Golemo Konjari (Përlep)","Campo de fútbol en Golemo Konjari (Prilep)","Football Pitch in Golemo Konjari (Prilep)"
"Игралиште во Добрушево (Могила)","Fusha e futbollit në Dobrushevë (Mogillë)","Campo de fútbol en Dobruševo (Mogila)","Football Pitch in Dobruševo (Mogila)"
"Игралиште во Ивањевци (Могила)","Fusha e futbollit në Ivanjevci (Mogillë)","Campo de fútbol en Ivanjevci (Mogila)","Football Pitch in Ivanjevci (Mogila)"
"Игралиште во Јегуновце (Јегуновце)","Fusha e futbollit në Jegunoc (Jegunoc)","Campo de fútbol en Jegunovce (Jegunovce)","Football Pitch in Jegunovce (Jegunovce)"
"Игралиште во Кукуречани (Битола)","Fusha e futbollit në Kukureçani (Manastir)","Campo de fútbol en Kukurečani (Bitola)","Football Pitch in Kukurečani (Bitola)"
"Игралиште во Логоварди (Битола)","Fusha e futbollit në Llogovardi (Manastir)","Campo de fútbol en Logovardi (Bitola)","Football Pitch in Logovardi (Bitola)"
"Игралиште во Лознани (Могила)","Fusha e futbollit në Lloznani (Mogillë)","Campo de fútbol en Loznani (Mogila)","Football Pitch in Loznani (Mogila)"
"Игралиште во Мешеишта (Охрид)","Fusha e futbollit në Mesheishtë (Ohër)","Campo de fútbol en Mešeišta (Ohrid)","Football Pitch in Mešeišta (Ohrid)"
"Игралиште во Ношпал (Могила)","Fusha e futbollit në Noshpal (Mogillë)","Campo de fútbol en Nošpal (Mogila)","Football Pitch in Nošpal (Mogila)"
"Игралиште во Боротино (Кривогаштани)","Fusha e futbollit në Borotino (Krivogashtan)","Campo de fútbol en Borotino (Krivogaštani)","Football Pitch in Borotino (Krivogaštani)"
"Игралиште во Велешта (Струга)","Fusha e futbollit në Veleshtë (Strugë)","Campo de fútbol en Velešta (Struga)","Football Pitch in Velešta (Struga)"
"Игралиште во Доброште (Тетово)","Fusha e futbollit në Dobrosht (Tetovë)","Campo de fútbol en Dobrošte (Tetovo)","Football Pitch in Dobrošte (Tetovo)"
"Игралиште во Житоше (Долнени)","Fusha e futbollit në Zhitoshe (Dollnen)","Campo de fútbol en Žitoše (Dolneni)","Football Pitch in Žitoše (Dolneni)"
"Игралиште во Забрчани (Долнени)","Fusha e futbollit në Zabrçani (Dollnen)","Campo de fútbol en Zabrčani (Dolneni)","Football Pitch in Zabrčani (Dolneni)"
"Игралиште во Кравари (Битола)","Fusha e futbollit në Kravari (Manastir)","Campo de fútbol en Kravari (Bitola)","Football Pitch in Kravari (Bitola)"
"Игралиште во Мало Коњари (Прилеп)","Fusha e futbollit në Mallo Konjari (Përlep)","Campo de fútbol en Malo Konjari (Prilep)","Football Pitch in Malo Konjari (Prilep)"
"Игралиште во Радолишта (Струга)","Fusha e futbollit në Ladorisht (Strugë)","Campo de fútbol en Radolišta (Struga)","Football Pitch in Radolišta (Struga)"
"Игралиште во Горни Подлог (Кочани)","Fusha e futbollit në Gorni Podllog (Koçan)","Campo de fútbol en Gorni Podlog (Kočani)","Football Pitch in Gorni Podlog (Kočani)"
"Игралиште во Горно Лисиче (Аеродром, Скопје)","Fusha e futbollit në Gorno Lisiçe (Aerodrom, Shkup)","Campo de fútbol en Gorno Lisiče (Aerodrom, Skopie)","Football Pitch in Gorno Lisiče (Aerodrom, Skopje)"
"Игралиште Градски базен (Прилеп)","Fusha e futbollit Pishina e qytetit (Përlep)","Campo de fútbol Gradski Bazen (Prilep)","Gradski Bazen Football Pitch (Prilep)"
"Игралиште во Десово (Долнени)","Fusha e futbollit në Desovë (Dollnen)","Campo de fútbol en Desovo (Dolneni)","Football Pitch in Desovo (Dolneni)"
"Игралиште Единство (Раштани, Велес)","Fusha e futbollit Edinstvo (Rashtan, Veles)","Campo de fútbol Edinstvo (Raštani, Veles)","Edinstvo Football Pitch (Raštani, Veles)"
"Игралиште „Јован Мандаровски“ во Пржино (Кисела Вода, Скопје)","Fusha e futbollit ""Jovan Mandarovski"" në Përzhinë (Kisella Vodë, Shkup)","Campo de fútbol Jovan Mandarovski en Pržino (Kisela Voda, Skopie)","Jovan Mandarovski Football Pitch in Pržino (Kisela Voda, Skopje)"
"Игралиште во Канатларци (Прилеп)","Fusha e futbollit në Kanatlarci (Përlep)","Campo de fútbol en Kanatlarci (Prilep)","Football Pitch in Kanatlarci (Prilep)"
"Игралиште Козјак (Старо Нагоричане)","Fusha e futbollit Kozjak (Staro Nagoriçan)","Campo de fútbol Kozjak (Staro Nagoričane)","Kozjak Football Pitch (Staro Nagoričane)"
"Игралиште во Кривогаштани (Прилеп)","Fusha e futbollit në Krivogashtan (Përlep)","Campo de fútbol en Krivogaštani (Prilep)","Football Pitch in Krivogaštani (Prilep)"
"Игралиште во Мажучиште (Прилеп)","Fusha e futbollit në Mazhuçishtë (Përlep)","Campo de fútbol en Mažučište (Prilep)","Football Pitch in Mažučište (Prilep)"
"Игралиште во Мало Коњари (Прилеп)","Fusha e futbollit në Mallo Konjari (Përlep)","Campo de fútbol en Malo Konjari (Prilep)","Football Pitch in Malo Konjari (Prilep)"
"Игралиште на АМС (Аеродром, Скопје)","Fusha e futbollit e AMS-së (Aerodrom, Shkup)","Campo de fútbol AMS (Aerodrom, Skopie)","AMS Football Pitch (Aerodrom, Skopje)"
"Игралиште на АМС Ново Лисиче (Аеродром, Скопје)","Fusha e futbollit e AMS-së Novo Lisiçe (Aerodrom, Shkup)","Campo de fútbol AMS Novo Lisiče (Aerodrom, Skopie)","AMS Novo Lisiče Football Pitch (Aerodrom, Skopje)"
"Игралиште на АМС (Кичево)","Fusha e futbollit e AMS-së (Kërçovë)","Campo de fútbol AMS (Kičevo)","AMS Football Pitch (Kičevo)"
"Игралиште на АМС (Могила)","Fusha e futbollit e AMS-së (Mogillë)","Campo de fútbol AMS (Mogila)","AMS Football Pitch (Mogila)"
"Игралиште на АМС (Тетово)","Fusha e futbollit e AMS-së (Tetovë)","Campo de fútbol AMS (Tetovo)","AMS Football Pitch (Tetovo)"
"Игралиште на АМС (Ѓорче Петров, Скопје)","Fusha e futbollit e AMS-së (Gjorçe Petrov, Shkup)","Campo de fútbol AMS (Gjorče Petrov, Skopie)","AMS Football Pitch (Gjorče Petrov, Skopje)"
"Игралиште на АМС (Градско)","Fusha e futbollit e AMS-së (Gradsko)","Campo de fútbol AMS (Gradsko)","AMS Football Pitch (Gradsko)"
"Игралиште ФК Велешта (Велешта)","Fusha e futbollit KF Veleshta (Veleshtë)","Campo de fútbol FK Velešta (Velešta)","FK Velešta Football Pitch (Velešta)"
"Игралиште во Обршани (Кривогаштани)","Fusha e futbollit në Obrshani (Krivogashtan)","Campo de fútbol en Obršani (Krivogaštani)","Football Pitch in Obršani (Krivogaštani)"
"Игралиште во Опае (Липково)","Fusha e futbollit në Opajë (Likovë)","Campo de fútbol en Opae (Lipkovo)","Football Pitch in Opae (Lipkovo)"
"Игралиште „Павел Шатев“ во Ќумурно (Битола)","Fusha e futbollit ""Pavel Shatev"" në Qumurno (Manastir)","Campo de fútbol Pavel Šatev en Kjumurno (Bitola)","Pavel Šatev Football Pitch in Kjumurno (Bitola)"
"Игралиште во Беранци (Могила)","Fusha e futbollit në Beranci (Mogillë)","Campo de fútbol en Beranci (Mogila)","Football Pitch in Beranci (Mogila)"
"Игралиште во Новаци (Новаци)","Fusha e futbollit në Novaci (Novaci)","Campo de fútbol en Novaci (Novaci)","Football Pitch in Novaci (Novaci)"
"Игралиште во Слатино (Охрид)","Fusha e futbollit në Sllatinë (Ohër)","Campo de fútbol en Slatino (Ohrid)","Football Pitch in Slatino (Ohrid)"
"Игралиште во Добромири (Новаци)","Fusha e futbollit në Dobromiri (Novaci)","Campo de fútbol en Dobromiri (Novaci)","Football Pitch in Dobromiri (Novaci)"
"Игралиште во Заполжани (Долнени)","Fusha e futbollit në Zapollzhani (Dollnen)","Campo de fútbol en Zapolžani (Dolneni)","Football Pitch in Zapolžani (Dolneni)"
"Игралиште во Лисолај (Битола)","Fusha e futbollit në Lisollaj (Manastir)","Campo de fútbol en Lisolaj (Bitola)","Football Pitch in Lisolaj (Bitola)"
"Игралиште во Порој (Тетово)","Fusha e futbollit në Poroj (Tetovë)","Campo de fútbol en Poroj (Tetovo)","Football Pitch in Poroj (Tetovo)"
"Игралиште во Р’жаничино (Петровец)","Fusha e futbollit në R'zhanichinë (Petrovec)","Campo de fútbol en Ržaničino (Petrovec)","Football Pitch in Ržaničino (Petrovec)"
"Игралиште во Српци (Битола)","Fusha e futbollit në Srpci (Manastir)","Campo de fútbol en Srpci (Bitola)","Football Pitch in Srpci (Bitola)"
"Игралиште во Фурка (Дојран)","Fusha e futbollit në Furkë (Dojran)","Campo de fútbol en Furka (Dojran)","Football Pitch in Furka (Dojran)"
"Игралиште во Чарлија (Могила)","Fusha e futbollit në Çarlija (Mogillë)","Campo de fútbol en Čarlija (Mogila)","Football Pitch in Čarlija (Mogila)"
"Игралиште во Долно Оризари (Битола)","Fusha e futbollit në Dollno Orizari (Manastir)","Campo de fútbol en Dolno Orizari (Bitola)","Football Pitch in Dolno Orizari (Bitola)"
"Игралиште со вештачка трева (Прилеп)","Fusha e futbollit me bar artificial (Përlep)","Campo de fútbol de césped artificial (Prilep)","Artificial Turf Football Pitch (Prilep)"
"Игралиште ФК Влазними (Струга)","Fusha e futbollit KF Vllaznimi (Strugë)","Campo de fútbol FK Vlaznimi (Struga)","FK Vlaznimi Football Pitch (Struga)"
"Игралиште Циглана во Драчево (Кисела Вода, Скопје)","Fusha e futbollit Ciglana në Draçevë (Kisella Vodë, Shkup)","Campo de fútbol Ciglana en Dračevo (Kisela Voda, Skopie)","Ciglana Football Pitch in Dračevo (Kisela Voda, Skopje)"
"Игралиште Чагор во Лопатица (Битола)","Fusha e futbollit Çagor në Llopaticë (Manastir)","Campo de fútbol Čagor en Lopatica (Bitola)","Čagor Football Pitch in Lopatica (Bitola)"
"Игралиште во Долно Оризари","Fusha e futbollit në Dollno Orizari","Campo de fútbol en Dolno Orizari","Football Pitch in Dolno Orizari"
"Национална арена „Тодор Проески“ (Центар, Скопје)","Arena Kombëtare ""Todor Proeski"" (Qendër, Shkup)","Estadio Nacional Todor Proeski (Centar, Skopie)","Todor Proeski National Arena (Centar, Skopje)"
"Национална Арена „тодор Проески“ Скопје, Скопје","Arena Kombëtare ""Todor Proeski"" (Qendër, Shkup)","Estadio Nacional Todor Proeski (Centar, Skopie)","Todor Proeski National Arena (Centar, Skopje)"
"Игралиште “Филип Лазаревски„ (Струмица)","Fusha e futbollit ""Filip Llazarevski"" (Strumicë)","Campo de fútbol Filip Lazarevski (Strumica)","Filip Lazarevski Football Pitch (Strumica)"
"Помошен терен „Билјанини извори“ (Охрид)","Fusha ndihmëse ""Burimet e Biljanës"" (Ohër)","Campo de fútbol auxiliar Biljanini Izvori (Ohrid)","Auxiliary Football Pitch Biljanini Izvori (Ohrid)"
"Стадион „Сабри Салиу - Ариф Алили“ (Липково)","Stadiumi ""Sabri Saliu - Arif Alili"" (Likovë)","Estadio Sabri Saliu - Arif Alili (Lipkovo)","Sabri Saliu - Arif Alili Stadium (Lipkovo)"
"Спортска сала (Куманово)","Salla e sporteve (Kumanovë)","Pabellón de deportes (Kumanovo)","Sports Hall (Kumanovo)"
"СРЦ „Билјанини извори“ (Охрид)","QRS ""Burimet e Biljanës"" (Ohër)","Centro Deportivo Biljanini Izvori (Ohrid)","Sports Centre Biljanini Izvori (Ohrid)"
"СРЦ „Железарница“ (Гази Баба, Скопје)","QRS ""Zhelezarnica"" (Gazi Babë, Shkup)","Centro Deportivo Železarnica (Gazi Baba, Skopie)","Sports Centre Železarnica (Gazi Baba, Skopje)"
"Стадион Бутел (Бутел, Скопје)","Stadiumi Butel (Butel, Shkup)","Estadio Butel (Butel, Skopie)","Butel Stadium (Butel, Skopje)"
"Стадион „Борис Трајковски“ во Маџари (Гази Баба, Скопје)","Stadiumi ""Boris Trajkovski"" në Maxhari (Gazi Babë, Shkup)","Estadio Boris Trajkovski en Madžari (Gazi Baba, Skopie)","Boris Trajkovski Stadium in Madžari (Gazi Baba, Skopje)"
"Стадион „Гоце Делчев“ (Прилеп)","Stadiumi ""Goce Dellçev"" (Përlep)","Estadio Goce Delčev (Prilep)","Goce Delčev Stadium (Prilep)"
"Стадион „Кукуш“ (Турново)","Stadiumi ""Kukush"" (Turnovë)","Estadio Kukuš (Turnovo)","Kukuš Stadium (Turnovo)"
"Стадион „Леска“ во Форино (Гостивар)","Stadiumi ""Leska"" në Forinë (Gostivar)","Estadio Leska en Forino (Gostivar)","Leska Stadium in Forino (Gostivar)"
"Стадион „Младост“ (Струмица)","Stadiumi ""Mlladost"" (Strumicë)","Estadio Mladost (Strumica)","Mladost Stadium (Strumica)"
"Стадион ФК Цементарница 55 (Кисела Вода, Скопје)","Stadiumi i KF Cementarnica 55 (Kisella Vodë, Shkup)","Estadio FK Cementarnica 55 (Kisela Voda, Skopie)","FK Cementarnica 55 Stadium (Kisela Voda, Skopje)"
"Стадион Алумина (Карпош, Скопје)","Stadiumi Alumina (Karposh, Shkup)","Estadio Alumina (Karpoš, Skopie)","Alumina Stadium (Karpoš, Skopje)"
"Стадион Башкими (Куманово)","Stadiumi Bashkimi (Kumanovë)","Estadio Bashkimi (Kumanovo)","Bashkimi Stadium (Kumanovo)"
"Стадион во Бистренци (Демир Капија)","Stadiumi në Bistrenci (Demir Kapi)","Estadio en Bistrenci (Demir Kapija)","Stadium in Bistrenci (Demir Kapija)"
"Градски стадион (Врапчиште)","Stadiumi i qytetit (Vrapçisht)","Estadio Municipal (Vrapčište)","City Stadium (Vrapčište)"
"Стадион во Војшанци (Неготино)","Stadiumi në Vojshanci (Negotinë)","Estadio en Vojšanci (Negotino)","Stadium in Vojšanci (Negotino)"
"Стадион Ѓорче Петров (Ѓорче Петров, Скопје)","Stadiumi Gjorçe Petrov (Gjorçe Petrov, Shkup)","Estadio Gjorče Petrov (Gjorče Petrov, Skopie)","Gjorče Petrov Stadium (Gjorče Petrov, Skopje)"
"Градски стадион „Гоце Делчев“ (Делчево)","Stadiumi i qytetit ""Goce Dellçev"" (Dellçevë)","Estadio Municipal Goce Delčev (Delčevo)","City Stadium Goce Delčev (Delčevo)"
"Стадион Дојранско Езеро во Нов Дојран (Дојран)","Stadiumi Liqeni i Dojranit në Dojran të Ri (Dojran)","Estadio Dojransko Ezero en Nov Dojran (Dojran)","Dojransko Ezero Stadium in Nov Dojran (Dojran)"
"Стадион во Долни Дисан (Неготино)","Stadiumi në Dollni Disan (Negotinë)","Estadio en Dolni Disan (Negotino)","Stadium in Dolni Disan (Negotino)"
"Стадион во Корешница (Демир Капија)","Stadiumi në Koreshnicë (Demir Kapi)","Estadio en Korešnica (Demir Kapija)","Stadium in Korešnica (Demir Kapija)"
"Стадион во Мороишта (Струга)","Stadiumi në Moroishtë (Strugë)","Estadio en Moroišta (Struga)","Stadium in Moroišta (Struga)"
"Стадион ФК Локомотива (Карпош, Скопје)","Stadiumi i KF Lokomotiva (Karposh, Shkup)","Estadio FK Lokomotiva (Karpoš, Skopie)","FK Lokomotiva Stadium (Karpoš, Skopje)"
"Стадион Оризаре (Шуто Оризари, Скопје)","Stadiumi Orizare (Shuto Orizare, Shkup)","Estadio Orizare (Šuto Orizari, Skopie)","Orizare Stadium (Šuto Orizari, Skopje)"
"Стадион во Пепелиште (Неготино)","Stadiumi në Pepelishtë (Negotinë)","Estadio en Pepelište (Negotino)","Stadium in Pepelište (Negotino)"
"Стадион во Бардовци (Карпош, Скопје)","Stadiumi në Bardovci (Karposh, Shkup)","Estadio en Bardovci (Karpoš, Skopie)","Stadium in Bardovci (Karpoš, Skopje)"
"Стадион во Љубин (Сарај, Скопје)","Stadiumi në Lubin (Saraj, Shkup)","Estadio en Ljubin (Saraj, Skopie)","Stadium in Ljubin (Saraj, Skopje)"
"Стадион во Неготино-Полошко (Гостивар)","Stadiumi në Negotinë të Pollogut (Gostivar)","Estadio en Negotino-Pološko (Gostivar)","Stadium in Negotino-Pološko (Gostivar)"
"Стадион во Пчиња (Куманово)","Stadiumi në Pçinjë (Kumanovë)","Estadio en Pčinja (Kumanovo)","Stadium in Pčinja (Kumanovo)"
"Стадион во Сенокос (Врапчиште)","Stadiumi në Senokos (Vrapçisht)","Estadio en Senokos (Vrapčište)","Stadium in Senokos (Vrapčište)"
"Стадион Силекс (Кратово)","Stadiumi Sileks (Kratovë)","Estadio Sileks (Kratovo)","Sileks Stadium (Kratovo)"
"Стадион во Тремник (Неготино)","Stadiumi në Tremnik (Negotinë)","Estadio en Tremnik (Negotino)","Stadium in Tremnik (Negotino)"
"Стадион ФК Влазрими (Кичево)","Stadiumi i KF Vëllazërimi (Kërçovë)","Estadio FK Vlazrimi (Kičevo)","FK Vlazrimi Stadium (Kičevo)"
"Стадион ФК Гоце Делчев (Гази Баба, Скопје)","Stadiumi i KF Goce Dellçev (Gazi Babë, Shkup)","Estadio FK Goce Delčev (Gazi Baba, Skopie)","FK Goce Delčev Stadium (Gazi Baba, Skopje)"
"Стадион ФК Илинден (Илинден)","Stadiumi i KF Ilinden (Ilinden)","Estadio FK Ilinden (Ilinden)","FK Ilinden Stadium (Ilinden)"
"Стадион ФК Марино (Илинден)","Stadiumi i KF Marino (Ilinden)","Estadio FK Marino (Ilinden)","FK Marino Stadium (Ilinden)"
"Стадион Чаир (Чаир, Скопје)","Stadiumi i Çairit (Çair, Shkup)","Estadio Čair (Čair, Skopie)","Čair Stadium (Čair, Skopje)"
"Стадион во Шишево (Сарај, Скопје)","Stadiumi në Shishevë (Saraj, Shkup)","Estadio en Šiševo (Saraj, Skopie)","Stadium in Šiševo (Saraj, Skopje)"
"Терен во Средно Коњари (Петровец)","Fusha e futbollit në Konjaren e Mesme (Petrovec)","Campo de fútbol en Sredno Konjari (Petrovec)","Football Pitch in Sredno Konjari (Petrovec)"
"Терен во Шемшово (Јегуновце)","Fusha e futbollit në Shemshovë (Jegunoc)","Campo de fútbol en Šemšovo (Jegunovce)","Football Pitch in Šemšovo (Jegunovce)"
